,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
0,1,Manchester City,29,22,4,3,68,18,70,69.293273,1.2932729999999992,63.739973,19.6099407,1.6099406999999992,18.8487757,44.8911973,9.09215169898794,28.25368869940649,375,112,68.8881,-1.1119000000000057
1,2,Liverpool,29,21,6,2,75,20,69,75.60016799999998,0.6001679999999823,70.16996,26.312256,6.312256000000001,26.312256,43.857704,8.49139624682873,24.620435384336524,346,127,66.723,-2.277000000000001
2,3,Chelsea,28,17,8,3,57,19,59,49.484801,-7.515199000000003,44.156621,25.317276000000003,6.317276000000003,21.511432000000006,22.645189,9.94577719712449,17.49516323683078,270,125,53.63170000000001,-5.368299999999991
3,4,Arsenal,28,17,3,8,44,31,54,45.299863,1.299863000000002,41.383262,35.377038,4.377037999999999,33.093528,8.289734,15.073368217600912,14.200281729766655,231,166,47.54430000000001,-6.455699999999993
4,5,Tottenham,29,16,3,10,47,36,51,49.9848996,2.9848995999999985,47.7013906,36.997220000000006,0.9972200000000058,35.474880000000006,12.2265106,14.46818884342118,14.046101094489373,216,200,48.11899999999999,-2.8810000000000073
5,6,Manchester United,29,14,8,7,48,40,50,47.55810099999999,-0.4418990000000065,45.274591,42.488581999999994,2.488581999999994,39.443918999999994,5.830672,14.38731290105921,13.02248018850962,223,180,44.6351,-5.364899999999999
6,7,West Ham,30,14,6,10,49,39,48,45.072919000000006,-3.927080999999994,41.11126400000001,41.56409200000001,2.5640920000000094,39.28058000000001,1.8306840000000006,14.319186812948464,14.371952024963365,194,205,44.34839999999999,-3.651600000000009
7,8,Wolverhampton Wanderers,30,14,4,12,31,26,46,31.783676899999996,0.7836768999999961,31.022506899999996,41.011597,15.011597000000002,37.20579,-6.183283100000001,17.362644945268315,11.687535889133096,139,238,35.723099999999995,-10.276900000000005
8,9,Aston Villa,29,11,3,15,41,40,36,31.521234,-9.478766,29.998896,40.496157000000004,0.49615700000000373,36.57955700000001,-6.580660999999999,13.914036395396055,9.177227289331045,200,190,34.1688,-1.8312000000000026
9,10,Leicester,27,10,6,11,42,46,36,35.915157,-6.084842999999999,34.392818000000005,49.162025,3.162025,43.731806,-9.338987999999997,16.250151367006932,12.59758455519251,181,228,30.319599999999998,-5.680400000000002
10,11,Southampton,29,8,11,10,36,45,35,38.622496,2.622495999999998,36.338986,44.23181700000001,-0.7681829999999934,42.70947700000001,-6.370491000000002,10.05388665936851,10.845474793039104,163,198,37.245099999999994,2.2450999999999937
11,12,Crystal Palace,29,7,13,9,39,38,34,37.275174,-1.7248260000000002,33.46934199999999,34.95808460000001,-3.0419153999999935,31.913416599999998,1.5559253999999978,14.90490183946644,10.930945181908545,171,200,41.977599999999995,7.977599999999995
12,13,Brighton,29,7,12,10,26,36,33,34.216590000000004,8.216590000000004,31.171927999999994,37.37606,1.3760600000000025,34.33142,-3.1594919999999993,9.126293950218502,15.683391337499332,216,181,37.913999999999994,4.913999999999994
13,14,Newcastle United,29,7,10,12,32,49,31,29.826867000000004,-2.1731329999999964,29.065694,48.390691999999994,-0.6093080000000057,43.667866,-14.602172000000001,15.848520394047352,8.22890917027659,129,230,28.222500000000004,-2.7774999999999963
14,15,Brentford,30,8,6,16,33,47,30,38.135245,5.135244999999998,33.568255,38.94048899999999,-8.059511000000008,37.41818599999999,-3.849930999999999,11.870218699180572,10.211164049232368,171,182,42.5259,12.5259
15,16,Leeds,30,7,8,15,34,67,29,42.47594200000001,8.47594200000001,39.431268,56.245457,-10.754542999999998,52.439617,-13.008348999999999,9.657074298048162,12.250094965557588,196,229,37.0035,8.003500000000003
16,17,Everton,27,7,4,16,29,47,25,30.944978999999996,1.9449789999999965,27.900332999999996,43.007661000000006,-3.992338999999994,42.24648800000001,-14.346155,14.500086556739749,8.310019440360248,137,194,30.832699999999996,5.8326999999999956
17,18,Watford,29,6,4,19,29,55,22,31.143947999999998,2.143947999999998,29.621617999999994,49.058625,-5.941375000000001,46.013945,-16.392326999999998,16.322010819733663,8.590760212036244,131,260,29.1775,7.177499999999998
18,19,Burnley,27,3,12,12,22,38,21,25.620881,3.6208810000000007,25.620881,42.179873,4.179873000000001,41.418703,-15.797822,13.11508998130995,10.399493365347338,121,227,24.533,3.5330000000000013
19,20,Norwich,29,4,5,20,18,63,17,22.696256800000004,4.696256800000004,20.4127858,59.74752900000001,-3.252470999999993,51.910731000000006,-31.497945199999993,16.939167553968314,10.244563332234838,141,279,18.7573,1.7573000000000008
